"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","ID"
0.71,0.567,4,-9.394,0,0.0399,0.481,3.34e-06,0.0784,0.749,149.319,127293,4,38.99697,6,"Yes",21269
0.204,0.139,11,-20.115,1,0.0485,0.895,0.391,0.179,0.0767,121.076,158599,5,58.06087,8,"No",21270
0.746,0.255,10,-15.91,1,0.0314,0.555,0.896,0.077,0.572,106.065,141800,4,45.47365,8,"Yes",21271
0.598,0.472,0,-12.547,1,0.0427,0.626,0,0.0383,0.72,110.785,127572,4,27.39321,7,"No",21272
0.719,0.67,2,-8.167,1,0.253,0.706,0,0.232,0.855,130.174,139587,4,108.2746,4,"No",21273
0.526,0.442,5,-5.994,1,0.0435,0.992,0.00318,0.274,0.752,122.579,203453,4,40.23778,8,"No",21274
0.607,0.67,0,-8.887,1,0.0448,0.0102,0,0.076,0.907,127.101,111733,4,36.8496,6,"Yes",21275
0.641,0.618,11,-13.79,1,0.0669,0.148,0,0.761,0.862,101.047,192838,4,40.49375,8,"Yes",21276
0.531,0.671,7,-10.819,0,0.0488,0.794,0.508,0.136,0.249,86.153,193359,4,76.87267,6,"No",21277
0.323,0.666,4,-5.925,1,0.0335,0.31,0,0.163,0.734,176.455,146293,4,33.27774,7,"Yes",21278
0.685,0.677,11,-11.172,1,0.0606,0.772,0.00377,0.133,0.901,133.75,128067,4,49.2066,6,"Yes",21279
0.18,0.178,10,-22.963,0,0.0307,0.00015,4.93e-05,0.192,0.0912,80.679,41160,3,7.96856,3,"No",21280
0.418,0.366,0,-14.939,1,0.0374,0.121,0,0.328,0.378,113.603,133267,3,30.26275,6,"No",21281
0.48,0.26,4,-17.335,1,0.0549,0.925,0.000796,0.315,0.672,126.339,100067,3,48.43391,5,"No",21282
0.361,0.28,7,-13.422,1,0.0294,0.821,0.435,0.144,0.213,82.298,160173,3,38.22192,8,"Yes",21283
0.402,0.675,10,-8.872,1,0.0438,0.596,0,0.248,0.672,104.505,181640,4,27.59591,9,"Yes",21284
0.326,0.114,6,-21.525,0,0.0368,0.814,6.9e-06,0.106,0.277,70.233,104025,5,25.52686,5,"Yes",21285
0.627,0.66,1,-6.86,1,0.033,0.0784,3.83e-06,0.366,0.96,76.621,127827,4,33.63095,9,"Yes",21286
0.238,0.671,5,-10.104,1,0.0393,0.0112,0.869,0.0824,0.806,147.813,457400,4,27.96282,24,"No",21287
0.617,0.494,0,-13.96,1,0.0325,0.637,0,0.0857,0.92,92.474,143387,4,33.90092,8,"Yes",21288
0.654,0.703,2,-7.06,0,0.0399,0.717,0,0.388,0.88,138.114,135533,4,30.28242,10,"Yes",21289
0.435,0.315,5,-11.066,1,0.0397,0.742,0,0.111,0.242,71.1,205800,4,51.9084,7,"No",21290
0.272,0.369,5,-11.288,1,0.0425,0.78,0.862,0.117,0.0394,117.412,115413,4,28.61812,6,"No",21291
0.408,0.443,1,-14.326,1,0.211,0.944,0.00189,0.809,0.692,130.216,189732,4,42.38749,9,"No",21292
0.802,0.407,6,-10.857,1,0.0309,0.00727,0.00147,0.0626,0.821,104.058,176693,4,34.01089,8,"Yes",21293
0.429,0.0499,0,-26.888,0,0.0568,0.991,0.965,0.0948,0.303,81.519,39994,3,0,2,"No",21294
0.726,0.401,3,-7.524,0,0.0323,0.782,0.323,0.168,0.852,106.476,161973,4,71.89978,5,"Yes",21295
0.66,0.642,5,-7.109,1,0.0407,0.139,0,0.0652,0.943,174.249,131133,4,43.49126,6,"Yes",21296
0.321,0.227,2,-14.297,1,0.0295,0.849,7.36e-06,0.109,0.385,167.825,216280,4,45.15674,11,"No",21297
0.382,0.449,11,-14.24,1,0.049,0.966,0.353,0.427,0.627,141.112,180213,4,42.18461,10,"Yes",21298
0.467,0.76,0,-8.546,1,0.114,0.0806,0,0.103,0.609,109.133,219627,4,54.30178,10,"No",21299
0.245,0.229,7,-4.989,1,0.0286,0.995,0.0736,0.123,0.252,90.589,246973,4,38.64846,9,"No",21300
0.356,0.408,2,-9.189,0,0.0325,0.113,0.621,0.12,0.0344,124.861,263400,4,150.17626,8,"No",21301
0.665,0.619,9,-8.99,1,0.0399,0.831,0.00734,0.0845,0.861,94.156,159827,4,47.33312,7,"Yes",21302
0.536,0.536,5,-11.223,1,0.134,0.454,0,0.114,0.761,139.517,211240,3,26.74537,9,"Yes",21303
0.626,0.51,3,-9.285,1,0.37,0.208,0,0.0713,0.837,114.091,143093,4,61.85882,7,"Yes",21304
0.494,0.445,3,-6.574,1,0.0252,0.472,0,0.094,0.4,79.416,213995,4,14.17801,11,"No",21305
0.804,0.364,10,-10.681,1,0.062,0.625,0.899,0.166,0.556,135.008,141013,4,50.83782,6,"Yes",21306
0.315,0.0765,7,-23.794,0,0.0408,0.878,0.849,0.11,0.166,114.812,124787,4,44.29578,7,"No",21307
0.482,0.68,0,-6.689,1,0.0543,0.427,0,0.0765,0.879,145.853,136267,4,44.64307,7,"No",21308
0.714,0.501,4,-9.232,1,0.0316,0.827,0,0.1,0.88,122.141,136253,3,31.79546,8,"Yes",21309
0.389,0.478,1,-11.69,1,0.0475,0.553,0.0239,0.365,0.441,76.588,339013,4,67.39849,15,"No",21310
0.157,0.249,5,-12.711,1,0.0368,0.974,0.00299,0.139,0.0395,87.254,480693,3,31.53387,21,"No",21311
0.213,0.292,5,-14.296,0,0.0322,0.883,3.09e-05,0.165,0.205,70.167,319364,4,58.2739,14,"No",21312
0.317,0.23,9,-12.902,0,0.0316,0.146,0,0.158,0.199,75.32,198733,4,39.17834,9,"No",21313
0.661,0.557,4,-8.244,1,0.049,0.262,0,0.0557,0.957,125.445,143400,4,24.65931,7,"Yes",21314
0.527,0.433,5,-9.94,1,0.0282,0.501,0,0.149,0.71,81.984,174493,4,25.05852,10,"Yes",21315
0.501,0.741,2,-8.5,0,0.0423,0.836,0.00162,0.407,0.801,140.155,139733,4,38.99974,8,"Yes",21316
0.411,0.505,11,-9.282,1,0.0427,0.472,0,0.129,0.486,89.803,125133,4,32.0097,6,"Yes",21317
0.322,0.925,4,-3.266,1,0.196,0.487,0,0.34,0.596,169.618,196053,4,28.70272,11,"No",21318
0.496,0.609,9,-9.459,0,0.0553,0.946,0.00176,0.268,0.809,113.16,172484,4,26.78221,8,"No",21319
0.376,0.271,2,-13.852,0,0.0416,0.00332,0.636,0.166,0.303,113.528,67765,4,8.82432,3,"No",21320
0.337,0.286,5,-8.349,1,0.0285,0.505,0,0.244,0.322,110.175,181933,3,44.84823,9,"Yes",21321
0.41,0.566,6,-11.073,0,0.0443,0.0967,0,0.263,0.669,142.037,148800,4,38.26931,9,"Yes",21322
0.555,0.732,0,-13.873,1,0.11,0.635,0.0428,0.139,0.233,137.301,116493,3,27.90533,6,"No",21323
0.233,0.307,11,-9.149,0,0.0324,0.949,1.4e-06,0.12,0.179,137.904,206040,4,23.20874,8,"No",21324
0.49,0.842,10,-5.614,1,0.0432,0.577,0,0.311,0.833,171.82,167333,4,40.28555,10,"Yes",21325
0.453,0.286,0,-12.652,1,0.0436,0.852,0.00161,0.363,0.437,110.565,263880,4,30.80131,12,"No",21326
0.683,0.803,5,-11.94,0,0.175,0.486,0.00187,0.0567,0.803,96.109,172147,4,28.42363,8,"Yes",21327
0.7,0.903,7,-11.68,1,0.12,0.71,2.61e-06,0.23,0.853,150.224,143133,4,25.72195,10,"Yes",21328
0.386,0.748,4,-17.523,1,0.482,0.431,0.14,0.11,0.107,96.669,384787,3,72.31388,10,"No",21329
0.555,0.534,0,-8.547,0,0.0304,0.508,0.000241,0.58,0.542,145.304,159453,4,46.54928,6,"Yes",21330
0.318,0.383,9,-11.943,0,0.0337,0.738,0.0013,0.176,0.632,127.699,160813,3,23.27613,10,"Yes",21331
0.509,0.341,7,-12.555,1,0.0654,0.519,1.31e-05,0.0867,0.515,130.023,531960,3,33.15027,26,"No",21332
